#   npix      mod  mod_pix          X(foc)         Y(foc)          theta             phi        omt(foc)        omt(ffr)
      22        0       22  -13.5099960000  -15.600000000    2.357123113  -40.6864260919  -22.5000000000  -22.2610658434 
      23        1        0   64.9519050000  -14.100000000    7.760126705   78.0259197061  -22.5000000000  -22.1145085254 
      24        1        1   64.9519050000  -21.900000000    8.001290530   71.7928638291  -22.5000000000  -21.9012964713 
      25        1        2   64.9519050000  -29.700000000    8.334430258   66.0045949203  -22.5000000000  -21.6881346141 
      26        1        3   64.9519050000  -37.500000000    8.748672789   60.7292281750  -22.5000000000  -21.4750409786 
      27        1        4   64.9519050000  -45.300000000    9.232651678   55.9874851574  -22.5000000000  -21.2620337182 
      28        1        5   58.1969070000  -41.400000000    8.313576719   55.3668221049   22.5000000000   23.5894174275 
      29        1        6   58.1969070000  -33.600000000    7.825739012   60.6439532975   22.5000000000   23.3842869324 
      30        1        7   58.1969070000  -25.800000000    7.415920702   66.5851699497   22.5000000000   23.1790801264 
      31        1        8   58.1969070000  -18.000000000    7.098167692   73.1576799753   22.5000000000   22.9738148901 
      32        1        9   51.4419090000  -14.100000000    6.203564367   74.9366087906  -22.5000000000  -22.1432298148 
      33        1       10   51.4419090000  -21.900000000    6.501321468   67.3513478595  -22.5000000000  -21.9459054304 
      34        1       11   51.4419090000  -29.700000000    6.905324374   60.5598153972  -22.5000000000  -21.7486303510 
      35        1       12   51.4419090000  -37.500000000    7.397761864   54.6169366640  -22.5000000000  -21.5514223234 
      36        1       13   51.4419090000  -45.300000000    7.961730817   49.4892766932  -22.5000000000  -21.3542992587 
      37        1       14   44.6869110000  -41.400000000    7.063863406   47.9566334573   22.5000000000   23.5046951027 
      38        1       15   44.6869110000  -33.600000000    6.485793352   53.6837328677   22.5000000000   23.3155267176 
      39        1       16   44.6869110000  -25.800000000    5.987639738   60.4767541070   22.5000000000   23.1262820311 
      40        1       17   44.6869110000  -18.000000000    5.591440520   68.3916125775   22.5000000000   22.9369789591 
      41        1       18   37.9319130000  -14.100000000    4.687525309   69.8612027239  -22.5000000000  -22.1722049351 
      42        1       19   37.9319130000  -21.900000000    5.072876159   60.3946063959  -22.5000000000  -21.9909099324 
      43        1       20   37.9319130000  -29.700000000    5.578475132   52.4785694399  -22.5000000000  -21.8096650240 
      44        1       21   37.9319130000  -37.500000000    6.174363429   46.0122943726  -22.5000000000  -21.6284882739 
      45        1       22   37.9319130000  -45.300000000    6.836399784   40.7710075387  -22.5000000000  -21.4473979430 
      46        2        0   64.9519050000   45.300000000    9.232651678  124.0125148426  -22.5000000000  -23.7379662818 
      47        2        1   64.9519050000   37.500000000    8.748672789  119.2707718250  -22.5000000000  -23.5249590214 
      48        2        2   64.9519050000   29.700000000    8.334430258  113.9954050797  -22.5000000000  -23.3118653859 
      49        2        3   64.9519050000   21.900000000    8.001290530  108.2071361709  -22.5000000000  -23.0987035287 
      50        2        4   64.9519050000   14.100000000    7.760126705  101.9740802939  -22.5000000000  -22.8854914746 
      51        2        5   58.1969070000   18.000000000    7.098167692  106.8423200247   22.5000000000   22.0261851099 
      52        2        6   58.1969070000   25.800000000    7.415920702  113.4148300503   22.5000000000   21.8209198736 
      53        2        7   58.1969070000   33.600000000    7.825739012  119.3560467025   22.5000000000   21.6157130676 
      54        2        8   58.1969070000   41.400000000    8.313576719  124.6331778951   22.5000000000   21.4105825725 
      55        2        9   51.4419090000   45.300000000    7.961730817  130.5107233068  -22.5000000000  -23.6457007413 
      56        2       10   51.4419090000   37.500000000    7.397761864  125.3830633360  -22.5000000000  -23.4485776766 
      57        2       11   51.4419090000   29.700000000    6.905324374  119.4401846028  -22.5000000000  -23.2513696490 
      58        2       12   51.4419090000   21.900000000    6.501321468  112.6486521405  -22.5000000000  -23.0540945696 
      59        2       13   51.4419090000   14.100000000    6.203564367  105.0633912094  -22.5000000000  -22.8567701852 
      60        2       14   44.6869110000   18.000000000    5.591440520  111.6083874225   22.5000000000   22.0630210409 
      61        2       15   44.6869110000   25.800000000    5.987639738  119.5232458930   22.5000000000   21.8737179689 
